Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Novak Djokovic [SRB],58,49-9,84.50%,69.10%,68.40%,436,8.70%,147,2.90%,8.10%,63.90%,76.20%,56.70%,61.60%,87.60%,6.1,1.9
2,Jannik Sinner [ITA],76,65-11,85.50%,69.10%,68.00%,485,8.30%,137,2.40%,6.00%,60.50%,76.80%,57.20%,60.90%,89.60%,6.1,1.9
3,Carlos Alcaraz [ESP],76,62-14,81.60%,67.20%,67.30%,319,5.60%,160,2.80%,8.30%,66.10%,72.60%,56.80%,61.90%,85.90%,6.2,2
4,Daniil Medvedev [RUS],74,55-19,74.30%,64.70%,65.50%,518,8.30%,348,5.60%,15.20%,63.10%,74.40%,48.10%,56.70%,82.50%,6.4,2.3
5,Alexander Zverev [GER],89,65-24,73.00%,67.70%,66.30%,719,10.10%,217,3.00%,10.60%,71.30%,74.00%,52.00%,58.10%,86.90%,6.2,2
6,Andrey Rublev [RUS],81,58-23,71.60%,67.10%,65.50%,607,8.90%,151,2.20%,5.80%,61.90%,75.40%,53.80%,57.10%,86.20%,6.2,2.1
7,Holger Rune [DEN],67,43-24,64.20%,65.10%,65.50%,396,7.30%,235,4.30%,11.20%,61.40%,72.70%,53.20%,59.90%,82.90%,6.4,2.2
8,Casper Ruud [NOR],67,45-22,67.20%,65.80%,65.40%,373,6.80%,168,3.10%,8.50%,63.90%,72.60%,53.60%,58.50%,85.40%,6.4,2.2
9,Grigor Dimitrov [BUL],73,53-20,72.60%,68.10%,67.70%,540,9.70%,227,4.10%,10.80%,62.40%,77.50%,52.40%,58.80%,86.10%,6.1,2
10,Hubert Hurkacz [POL],69,46-23,66.70%,70.00%,65.70%,1037,16.40%,132,2.10%,5.70%,63.60%,79.80%,52.80%,56.00%,89.60%,6.2,1.9
11,Alex De Minaur [AUS],79,53-26,67.10%,64.60%,64.60%,312,5.40%,175,3.10%,7.00%,56.30%,72.30%,54.60%,58.70%,80.80%,6.3,2.2
12,Stefanos Tsitsipas [GRE],74,48-26,64.90%,69.10%,68.10%,512,9.10%,157,2.80%,7.40%,62.30%,77.90%,54.50%,58.90%,87.80%,6.1,1.9
13,Taylor Fritz [USA],67,45-22,67.20%,68.10%,65.70%,653,12.40%,147,2.80%,7.00%,60.30%,76.80%,55.00%,59.20%,85.90%,6.2,2
14,Ugo Humbert [FRA],64,41-23,64.10%,66.00%,64.80%,423,8.50%,134,2.70%,7.10%,62.20%,73.90%,53.10%,57.10%,83.10%,6.2,2.1
15,Tommy Paul [USA],65,39-26,60.00%,64.50%,63.50%,424,8.00%,159,3.00%,7.70%,60.70%,72.20%,52.70%,57.10%,81.50%,6.4,2.3
16,Ben Shelton [USA],53,29-24,54.70%,66.60%,65.90%,541,11.50%,232,4.90%,14.30%,65.60%,74.80%,51.00%,59.60%,84.50%,6.3,2.1
17,Karen Khachanov [RUS],51,33-18,64.70%,66.30%,64.40%,368,9.30%,89,2.30%,6.10%,62.80%,74.00%,53.20%,56.60%,83.60%,6.2,2.1
18,Alexander Bublik [KAZ],57,34-23,59.60%,64.40%,65.80%,624,14.30%,417,9.60%,23.60%,59.40%,77.60%,45.00%,59.00%,80.60%,6.4,2.3
19,Sebastian Baez [ARG],61,37-24,60.70%,61.70%,61.90%,131,2.90%,96,2.10%,7.40%,71.80%,65.20%,52.80%,57.00%,77.00%,6.4,2.5
20,Adrian Mannarino [FRA],63,38-25,60.30%,63.10%,62.70%,301,6.30%,150,3.10%,8.10%,61.10%,69.70%,52.60%,57.20%,78.10%,6.3,2.3
21,Frances Tiafoe [USA],50,27-23,54.00%,64.90%,63.30%,393,9.60%,126,3.10%,7.50%,59.10%,74.70%,50.60%,54.80%,81.70%,6.4,2.3
22,Nicolas Jarry [CHI],63,39-24,61.90%,68.20%,66.20%,569,10.90%,131,2.50%,7.20%,65.00%,76.80%,52.30%,56.40%,86.80%,6.2,2
23,Francisco Cerundolo [ARG],60,34-26,56.70%,61.30%,62.40%,194,3.80%,212,4.20%,12.10%,65.70%,67.40%,49.50%,56.40%,76.50%,6.7,2.6
24,Lorenzo Musetti [ITA],63,33-30,52.40%,62.80%,62.90%,235,4.90%,147,3.10%,8.10%,62.40%,70.40%,50.20%,54.70%,78.20%,6.4,2.4
25,Tallon Griekspoor [NED],57,32-25,56.10%,67.40%,66.30%,519,10.90%,184,3.90%,10.60%,63.70%,75.90%,52.70%,59.00%,86.20%,6.3,2.1
26,Jan Lennard Struff [GER],45,24-21,53.30%,65.80%,63.90%,470,12.00%,150,3.80%,9.50%,59.70%,76.10%,50.50%,55.80%,84.30%,6.6,2.3
27,Sebastian Korda [USA],50,28-22,56.00%,65.70%,63.20%,475,11.80%,115,2.90%,7.50%,61.90%,74.80%,51.00%,55.20%,82.60%,6.3,2.2
28,Alejandro Davidovich Fokina [ESP],53,28-25,52.80%,62.90%,62.40%,192,4.70%,86,2.10%,6.40%,67.30%,68.20%,51.80%,55.30%,78.40%,6.5,2.4
29,Jiri Lehecka [CZE],60,33-27,55.00%,64.60%,63.40%,381,8.30%,137,3.00%,8.50%,64.60%,71.80%,51.40%,56.10%,80.40%,6.3,2.2
30,Tomas Martin Etcheverry [ARG],48,23-25,47.90%,64.10%,62.60%,269,6.90%,67,1.70%,5.10%,66.40%,70.10%,52.20%,55.00%,81.00%,6.5,2.3
31,Cameron Norrie [GBR],51,25-26,49.00%,63.90%,63.50%,253,5.90%,117,2.70%,7.70%,64.60%,70.30%,52.40%,56.80%,81.30%,6.3,2.3
32,Borna Coric [CRO],39,20-19,51.30%,63.80%,63.10%,200,6.40%,83,2.70%,6.70%,60.10%,73.00%,49.90%,53.50%,80.50%,6.4,2.3
33,Jordan Thompson [AUS],53,29-24,54.70%,66.90%,64.30%,390,9.90%,54,1.40%,3.40%,59.50%,74.20%,56.30%,58.20%,83.40%,6.2,2
34,Laslo Djere [SRB],53,29-24,54.70%,64.00%,63.60%,303,7.10%,143,3.40%,9.00%,62.70%,71.50%,51.40%,56.50%,80.90%,6.6,2.4
35,Matteo Arnaldi [ITA],52,30-22,57.70%,62.90%,62.30%,337,7.30%,160,3.50%,8.20%,57.60%,70.30%,52.90%,57.60%,80.10%,6.7,2.5
36,Felix Auger Aliassime [CAN],38,18-20,47.40%,65.00%,65.50%,324,10.60%,193,6.30%,16.90%,62.50%,75.00%,48.20%,58.10%,82.20%,6.2,2.2
37,Arthur Fils [FRA],50,27-23,54.00%,64.20%,64.20%,321,8.40%,179,4.70%,11.90%,60.70%,74.20%,48.70%,55.30%,81.20%,6.4,2.3
38,Fabian Marozsan [HUN],38,22-16,57.90%,63.50%,63.20%,170,5.70%,81,2.70%,8.00%,65.90%,70.50%,50.10%,54.40%,78.60%,6.3,2.3
39,Jack Draper [GBR],35,21-14,60.00%,65.90%,64.50%,282,10.30%,95,3.50%,8.50%,59.00%,77.50%,49.20%,53.80%,85.70%,6.4,2.2
40,Roman Safiullin [RUS],45,24-21,53.30%,66.20%,66.10%,294,8.40%,148,4.20%,11.30%,62.50%,74.30%,52.60%,59.20%,82.40%,6.3,2.1
41,Christopher Eubanks [USA],39,19-20,48.70%,67.80%,65.40%,457,13.10%,116,3.30%,11.00%,69.80%,74.40%,52.50%,59.00%,87.10%,6.2,2
42,Daniel Evans [GBR],39,16-23,41.00%,63.50%,64.40%,161,5.40%,134,4.50%,10.60%,57.60%,71.90%,52.10%,58.20%,79.10%,6.3,2.3
43,Tomas Machac [CZE],24,15-9,62.50%,65.50%,64.90%,130,6.60%,51,2.60%,7.00%,62.60%,73.20%,52.70%,56.60%,83.00%,6.3,2.2
44,Aslan Karatsev [RUS],33,19-14,57.60%,65.50%,67.00%,203,7.30%,165,5.90%,14.50%,59.20%,74.90%,51.80%,60.50%,82.00%,6.4,2.2
45,Gael Monfils [FRA],42,25-17,59.50%,65.10%,64.90%,364,10.50%,188,5.40%,13.30%,59.40%,75.60%,49.60%,57.30%,82.50%,6.3,2.2
46,Alexei Popyrin [AUS],43,23-20,53.50%,66.30%,64.60%,399,10.60%,116,3.10%,8.10%,62.20%,75.10%,52.00%,56.60%,85.00%,6.5,2.2
47,Sebastian Ofner [AUT],42,20-22,47.60%,62.30%,61.00%,305,8.70%,124,3.60%,8.40%,57.40%,73.20%,47.50%,51.80%,76.10%,6.5,2.4
48,Alejandro Tabilo [CHI],20,12-8,60.00%,66.40%,64.10%,181,11.70%,46,3.00%,8.80%,66.10%,75.20%,49.20%,54.00%,83.50%,6.2,2.1
49,Zhizhen Zhang [CHN],50,26-24,52.00%,64.50%,63.30%,340,8.30%,119,2.90%,8.00%,63.90%,72.00%,51.20%,55.60%,80.70%,6.3,2.2
50,Miomir Kecmanovic [SRB],52,22-30,42.30%,62.60%,62.30%,209,4.80%,101,2.30%,6.00%,61.60%,68.20%,53.70%,57.20%,77.60%,6.5,2.4